Left	Right	k	Cumulative	Norm	RAS	StdErr
<HGDP00665>	BergamoItalian2	8	False	56654834	1.1065635193635912e-2	1.9778351851100227e-4
<HGDP00665>	BergamoItalian2	9	False	56654834	5.805044367440915e-3	5.724799571455247e-5
<HGDP00665>	BergamoItalian2	10	False	56654834	7.432275770148759e-3	1.1312209633691683e-4
<HGDP00665>	French2	2	False	56654834	0.1417932217806491	7.426252778055334e-4
<HGDP00665>	French2	3	False	56654834	4.070693447596409e-2	1.563642488169195e-4
<HGDP00665>	French2	4	False	56654834	4.367121459506114e-2	4.342154599359084e-4
<HGDP00665>	French2	5	False	56654834	1.6904655003965447e-2	1.0575343830652183e-4
<HGDP00665>	French2	6	False	56654834	1.890308485619068e-2	2.2278198763869394e-4
<HGDP00665>	French2	7	False	56654834	9.031111707350258e-3	6.600507062120118e-5
<HGDP00665>	French2	8	False	56654834	1.0998740840692653e-2	1.9659189099195188e-4
<HGDP00665>	French2	9	False	56654834	5.780805516490905e-3	5.6827389069343396e-5
<HGDP00665>	French2	10	False	56654834	7.383053376549261e-3	1.1197912149580945e-4
<HGDP00665>	Han2	2	False	56654834	0.1418242501032435	7.421415895511258e-4
<HGDP00665>	Han2	3	False	56654834	4.0665873818378453e-2	1.5600960019146004e-4
<HGDP00665>	Han2	4	False	56654834	4.367668671456862e-2	4.337731645069456e-4
<HGDP00665>	Han2	5	False	56654834	1.6892729298148713e-2	1.0548163141468306e-4
<HGDP00665>	Han2	6	False	56654834	1.8906098906958168e-2	2.2222405734986418e-4
<HGDP00665>	Han2	7	False	56654834	9.023144859864001e-3	6.563914898814846e-5
<HGDP00665>	Han2	8	False	56654834	1.0997941898137865e-2	1.9614593602369792e-4
<HGDP00665>	Han2	9	False	56654834	5.774529176724499e-3	5.6562794836850334e-5
<HGDP00665>	Han2	10	False	56654834	7.382798541188043e-3	1.1158323010018419e-4
<HGDP00665>	Karitiana2	2	False	56654834	0.14206301928269555	7.385274308909705e-4
<HGDP00665>	Karitiana2	3	False	56654834	4.0794580741336246e-2	1.558128096161655e-4
<HGDP00665>	Karitiana2	4	False	56654834	4.373091579440516e-2	4.3236976502275857e-4
<HGDP00665>	Karitiana2	5	False	56654834	1.691938679054289e-2	1.0548472599751733e-4
<HGDP00665>	Karitiana2	6	False	56654834	1.888577724894582e-2	2.190125221465431e-4
<HGDP00665>	Karitiana2	7	False	56654834	9.019282891200417e-3	6.535161048608708e-5
<HGDP00665>	Karitiana2	8	False	56654834	1.0921312557371533e-2	1.6172475506867056e-4
<HGDP00665>	Karitiana2	9	False	56654834	5.756525118403844e-3	5.059876257573827e-5
<HGDP00665>	Karitiana2	10	False	56654834	7.335119012086419e-3	1.0695818183123804e-4
<HGDP00665>	Mbuti2	2	False	56654834	0.13976202245721453	7.119673046461531e-4
<HGDP00665>	Mbuti2	3	False	56654834	3.931206109357905e-2	1.480216003801116e-4
<HGDP00665>	Mbuti2	4	False	56654834	4.2006144371788144e-2	4.2339259665782447e-4
<HGDP00665>	Mbuti2	5	False	56654834	1.578605246320518e-2	1.0110797251315562e-4
<HGDP00665>	Mbuti2	6	False	56654834	1.76484948390203e-2	2.175137804062964e-4
<HGDP00665>	Mbuti2	7	False	56654834	8.18121354754203e-3	6.186783300738091e-5
<HGDP00665>	Mbuti2	8	False	56654834	1.004737501545525e-2	1.9356062652637078e-4
<HGDP00665>	Mbuti2	9	False	56654834	5.155625218301596e-3	5.389557796263815e-5
<HGDP00665>	Mbuti2	10	False	56654834	6.6513284478233485e-3	1.0675203860376711e-4
<HGDP00665>	Orcadian2	2	False	56654834	0.14219564008633995	7.423433236380062e-4
<HGDP00665>	Orcadian2	3	False	56654834	4.0808100396978825e-2	1.5645979773219957e-4
<HGDP00665>	Orcadian2	4	False	56654834	4.385230088085863e-2	4.357853236702435e-4
